name,language,country,genre
Blade Runner,English,USA,Sci-Fi
2001: A Space Odyssey,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
Gattaca,English,USA,Sci-Fi
Children of Men,English,USA,Sci-Fi
District 9,English,South Africa,Sci-Fi
Alien,English,USA,Sci-Fi
The Matrix,English,USA,Sci-Fi
The Shawshank Redemption,English,USA,Drama
Schindler's List,English,USA,Biography
Forrest Gump,English,USA,Drama
The Green Mile,English,USA,Fantasy
Life Is Beautiful,Italian,Italy,Comedy
Parasite,Korean,South Korea,Black Comedy
12 Angry Men,English,USA,Courtroom
The Godfather,English,USA,Crime
Fight Club,English,USA,Psychological Thriller
Good Will Hunting,English,USA,Drama
The Silence of the Lambs,English,USA,Thriller
Se7en,English,USA,Thriller
Parasite,Korean,South Korea,Thriller
Prisoners,English,USA,Thriller
The Girl with the Dragon Tattoo,Swedish,Sweden,Thriller
Rear Window,English,USA,Thriller
Memories of Murder,Korean,South Korea,Thriller
Zodiac,English,USA,Thriller
The Vanishing (Spoorloos),Dutch,Netherlands,Thriller
Oldboy,Korean,South Korea,Thriller
The Shawshank Redemption,English,USA,Drama
Schindler's List,English,USA,Biography
Forrest Gump,English,USA,Drama
The Green Mile,English,USA,Fantasy Drama
12 Angry Men,English,USA,Legal Drama
Life Is Beautiful,Italian,Italy,Comedy-drama
Parasite,Korean,South Korea,Black comedy thriller drama
Fight Club,English,USA,Psychological drama
Good Will Hunting,English,USA,Drama
A Separation,Persian,Iran,Drama
The Shawshank Redemption,English,USA,Drama
Pulp Fiction,English,USA,Crime
Spirited Away,Japanese,Japan,Animation
Parasite,Korean,South Korea,Thriller
The Dark Knight,English,USA,Action
Inception,English,USA,Sci-Fi
Goodfellas,English,USA,Crime
Amelie,French,France,Romance
Interstellar,English,USA,Sci-Fi
Seven Samurai,Japanese,Japan,Action
Prisoners,English,USA,Thriller
Se7en,English,USA,Thriller
The Silence of the Lambs,English,USA,Thriller
Parasite,Korean,South Korea,Thriller
The Girl with the Dragon Tattoo,Swedish,Sweden,Thriller
Rear Window,English,USA,Thriller
Memories of Murder,Korean,South Korea,Thriller
Zodiac,English,USA,Thriller
The Vanishing (Spoorloos),Dutch,Netherlands,Thriller
Oldboy,Korean,South Korea,Thriller
Blade Runner,English,USA,Sci-Fi
2001: A Space Odyssey,English,UK,Sci-Fi
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
Gattaca,English,USA,Sci-Fi
Solaris (1972),Russian,Soviet Union,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,English,USA,Sci-Fi
District 9,English,South Africa,Sci-Fi
Children of Men,English,UK,Sci-Fi
The Matrix,English,USA,Sci-Fi
Shaun of the Dead,English,UK,Comedy Horror
Monty Python and the Holy Grail,English,UK,Comedy
The Big Lebowski,English,USA,Comedy
Bridesmaids,English,USA,Comedy
Superbad,English,USA,Comedy
This Is Spinal Tap,English,USA,Comedy
What We Do in the Shadows,English,New Zealand,Comedy Horror
Airplane!,English,USA,Comedy
Booksmart,English,USA,Comedy
Paddington 2,English,UK,Family Comedy
My Octopus Teacher,English,South Africa,Nature Documentary
Free Solo,English,USA,Sports Documentary
Icarus,English,USA,Political Documentary
Man with a Movie Camera,Russian,Soviet Union,Experimental Documentary
The Act of Killing,Indonesian,Denmark/Norway/UK,Historical Documentary
Amy,English,UK,Biographical Documentary
Citizenfour,English,USA/Germany/UK,Political Documentary
Paris Is Burning,English,USA,Social Documentary
The Cove,English,USA,Environmental Documentary
Exit Through the Gift Shop,English,UK,Art Documentary
Blade Runner 2049,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
