name,language,country,genre
Chiamami col tuo nome,Italiano,Italia,Romance
Orgoglio e pregiudizio,Inglese,Regno Unito,Romance
Le pagine della nostra vita,Inglese,Stati Uniti,Romance
Il favoloso mondo di Amélie,Francese,Francia,Romance
Prima dell'alba,Inglese,Stati Uniti,Romance
Amore e altri rimedi,Inglese,Stati Uniti,Romance
500 giorni insieme,Inglese,Stati Uniti,Romance
Shakespeare in Love,Inglese,Regno Unito,Romance
"Crazy, Stupid, Love",Inglese,Stati Uniti,Romance
Her - Lei,Inglese,Stati Uniti,Romance
Le ali della libertà,Inglese,USA,Drammatico
Forrest Gump,Inglese,USA,Drammatico
Schindler's List,Inglese,USA,"Drammatico, Storico"
La vita è bella,Italiano,Italia,"Drammatico, Commedia"
Il miglio verde,Inglese,USA,"Drammatico, Fantasy"
Qualcuno volò sul nido del cuculo,Inglese,USA,Drammatico
Fight Club,Inglese,USA,"Drammatico, Thriller"
Parasite,Coreano,Corea del Sud,"Drammatico, Thriller, Commedia Nera"
Il silenzio degli innocenti,Inglese,USA,"Drammatico, Thriller, Horror"
A Beautiful Mind,Inglese,USA,"Drammatico, Biografico"
Il Padrino,"Italiano, Inglese",USA,"Crime, Drama"
Schindler's List,"Inglese, Tedesco, Polacco, Ebraico",USA,"Biography, Drama, History"
La vita è bella,"Italiano, Tedesco",Italy,"Comedy, Drama, War"
Parasite,Korean,South Korea,"Comedy, Drama, Thriller"
2001: Odissea nello spazio,Inglese,"USA, UK","Sci-Fi, Adventure, Mystery"
"Il buono, il brutto, il cattivo",Italiano,"Italy, Spain, West Germany",Western
Forrest Gump,Inglese,USA,"Drama, Romance"
Il silenzio degli innocenti,Inglese,USA,"Crime, Drama, Thriller"
Seven Samurai,Giapponese,Japan,"Action, Drama"
Inception,"Inglese, Giapponese, Francese","USA, UK","Action, Sci-Fi, Thriller"
Chiamami col tuo nome,Italiano,Italia,Romance
Orgoglio e pregiudizio,Inglese,Regno Unito,Romance
Casablanca,Inglese,Stati Uniti,Romance
Il favoloso mondo di Amélie,Francese,Francia,Romance
Le pagine della nostra vita,Inglese,Stati Uniti,Romance
Prima dell'alba,Inglese,Stati Uniti,Romance
Her,Inglese,Stati Uniti,Romance
Shakespeare in Love,Inglese,Regno Unito,Romance
500 giorni insieme,Inglese,Stati Uniti,Romance
La La Land,Inglese,Stati Uniti,Romance
Le ali della libertà,Inglese,USA,Drammatico
Forrest Gump,Inglese,USA,Drammatico
Schindler's List,Inglese,USA,Drammatico
La vita è bella,Italiano,Italia,Drammatico
Il miglio verde,Inglese,USA,Drammatico
Il Gladiatore,Inglese,USA,Drammatico
A Beautiful Mind,Inglese,USA,Drammatico
Qualcuno volò sul nido del cuculo,Inglese,USA,Drammatico
Rain Man - L'uomo della pioggia,Inglese,USA,Drammatico
American History X,Inglese,USA,Drammatico
Chiamami col tuo nome,Italiano,Italia,Romance
Orgoglio e pregiudizio,Inglese,Regno Unito,Romance
Casablanca,Inglese,Stati Uniti,Romance
Her,Inglese,Stati Uniti,Romance
Il favoloso mondo di Amélie,Francese,Francia,Romance
Titanic,Inglese,Stati Uniti,Romance
500 giorni insieme,Inglese,Stati Uniti,Romance
Le pagine della nostra vita,Inglese,Stati Uniti,Romance
Shakespeare in Love,Inglese,Regno Unito,Romance
La La Land,Inglese,Stati Uniti,Romance
Citizenfour,English,USA,"Documentary, Biography, Thriller"
Icarus,English,USA,"Documentary, Sport, Thriller"
Amy,English,UK,"Documentary, Biography, Music"
Free Solo,English,USA,"Documentary, Adventure, Sport"
Man with a Movie Camera,Russian,USSR,Documentary
The Act of Killing,Indonesian,"Denmark, Norway, UK","Documentary, Crime, History"
Searching for Sugar Man,English,"Sweden, UK","Documentary, Music"
Jiro Dreams of Sushi,Japanese,USA,"Documentary, Biography, Food"
The Cove,"English, Japanese",USA,"Documentary, Adventure, Thriller"
Exit Through the Gift Shop,"English, French","UK, USA","Documentary, Comedy, Crime"
Hereditary,English,USA,"Horror, Mystery, Thriller"
The Babadook,English,Australia,"Horror, Drama, Mystery"
It Follows,English,USA,"Horror, Mystery"
The Witch,English,"USA, Canada, UK, Brazil","Horror, Mystery"
A Quiet Place,English,USA,"Horror, Sci-Fi, Thriller"
Get Out,English,USA,"Horror, Mystery, Thriller"
The Conjuring,English,USA,"Horror, Mystery, Thriller"
Train to Busan,Korean,South Korea,"Action, Horror, Thriller"
REC,Spanish,Spain,"Horror, Mystery, Thriller"
The Descent,English,UK,"Adventure, Horror, Thriller"
Il Signore degli Anelli: La Compagnia dell'Anello,Inglese,"Nuova Zelanda, USA","Fantasy, Avventura"
La Storia Infinita,Inglese,"Germania Ovest, USA","Fantasy, Famiglia"
Il Labirinto del Fauno,Spagnolo,"Spagna, Messico","Fantasy, Drammatico"
La Principessa Sposa,Inglese,USA,"Fantasy, Avventura, Commedia"
Willow,Inglese,USA,"Fantasy, Avventura"
Legend,Inglese,"USA, Regno Unito","Fantasy, Avventura"
Big Fish - Le Storie di una Vita Incredibile,Inglese,USA,"Fantasy, Drammatico, Commedia"
Stardust,Inglese,"USA, Regno Unito","Fantasy, Avventura, Romantico"
Dragonheart,Inglese,USA,"Fantasy, Avventura"
Edward mani di forbice,Inglese,USA,"Fantasy, Romantico"
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
John Wick,English,USA,Action
Terminator 2: Judgment Day,English,USA,Action
Die Hard,English,USA,Action
"Crouching Tiger, Hidden Dragon",Mandarin,China,Action
Mission: Impossible - Fallout,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
Kill Bill: Vol. 1,English,USA,Action
Edge of Tomorrow,English,USA,Action
Il silenzio degli innocenti,Italian,USA,"Thriller, Crime, Mystery"
Seven,Italian,USA,"Crime, Mystery, Thriller"
Knives Out - Cena con delitto,Italian,USA,"Comedy, Crime, Drama, Mystery, Thriller"
Memento,Italian,USA,"Mystery, Thriller"
L.A. Confidential,Italian,USA,"Crime, Drama, Mystery, Thriller"
Primal Fear,Italian,USA,"Crime, Drama, Mystery, Thriller"
Mystic River,Italian,USA,"Crime, Drama, Mystery, Thriller"
Gone Girl - L'amore bugiardo,Italian,USA,"Drama, Mystery, Thriller"
Prisoners,Italian,USA,"Crime, Drama, Mystery, Thriller"
The Others,Italian,"Spain, USA, France","Horror, Mystery, Thriller"
Hereditary,English,USA,Horror
The Babadook,English,Australia,Horror
It Follows,English,USA,Horror
The Witch,English,USA,Horror
REC,Spanish,Spain,Horror
The Shining,English,USA,Horror
The Exorcist,English,USA,Horror
A Quiet Place,English,USA,Horror
Train to Busan,Korean,South Korea,Horror
The Silence of the Lambs,English,USA,"Thriller, Horror"
Blade Runner,English,USA,Sci-Fi
2001: A Space Odyssey,English,USA,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,English,USA,Sci-Fi
Alien,English,USA,Sci-Fi Horror
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
The Matrix,English,USA,Sci-Fi
Children of Men,English,UK,Sci-Fi
Stalker,Russian,Soviet Union,Sci-Fi
Gattaca,English,USA,Sci-Fi
A qualcuno piace caldo,Italiano,USA,Commedia
Frankenstein Junior,Italiano,USA,Commedia
Monty Python e il Sacro Graal,Italiano,Regno Unito,Commedia
Il grande Lebowski,Italiano,USA,Commedia
Un pesce di nome Wanda,Italiano,Regno Unito,Commedia
Ricomincio da capo,Italiano,USA,Commedia
Una notte da leoni,Italiano,USA,Commedia
L'aereo più pazzo del mondo,Italiano,USA,Commedia
Borat - Studio culturale sull'America a beneficio della gloriosa nazione del Kazakistan,Italiano,USA,Commedia
Quasi amici,Italiano,Francia,Commedia
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
John Wick,English,USA,Action
Terminator 2: Judgment Day,English,USA,Action
Die Hard,English,USA,Action
Edge of Tomorrow,English,USA,Action
Kill Bill: Vol. 1,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
Mission: Impossible - Fallout,English,USA,Action
"Crouching Tiger, Hidden Dragon",Mandarin,China,Action
Il Signore degli Anelli: La Compagnia dell'Anello,Inglese,Nuova Zelanda,Fantasy
La Storia Infinita,Inglese,Germania Ovest,Fantasy
Willow,Inglese,USA,Fantasy
Legend,Inglese,USA,Fantasy
Dark Crystal,Inglese,Regno Unito,Fantasy
Princess Bride,Inglese,USA,Fantasy
Stardust,Inglese,USA,Fantasy
Il Labirinto del Fauno,Spagnolo,Spagna,Fantasy
Big Fish - Una storia di incredibile,Inglese,USA,Fantasy
Dragonheart,Inglese,USA,Fantasy
Il silenzio degli innocenti,Italian,USA,Thriller
Seven,Italian,USA,Thriller
Psycho,Italian,USA,Thriller
The Departed - Il bene e il male,Italian,USA,Thriller
Prisoners,Italian,USA,Thriller
Memories of Murder,Italian,Corea del Sud,Thriller
Oldboy,Italian,Corea del Sud,Thriller
Il sospetto,Italian,Danimarca,Thriller
La finestra sul cortile,Italian,USA,Thriller
Parasite,Italian,Corea del Sud,Thriller
Il silenzio degli innocenti,Italian,USA,"Thriller, Mystery"
Knives Out - Cena con delitto,Italian,USA,"Comedy, Crime, Mystery"
Seven,Italian,USA,"Crime, Mystery, Thriller"
Primal Fear,Italian,USA,"Crime, Drama, Mystery"
Gone Girl - L'amore bugiardo,Italian,USA,"Drama, Mystery, Thriller"
The Prestige,Italian,"USA, UK","Drama, Mystery, Sci-Fi"
Mystic River,Italian,"USA, Australia","Crime, Drama, Mystery"
L.A. Confidential,Italian,USA,"Crime, Drama, Mystery"
Prisoners,Italian,USA,"Crime, Drama, Mystery"
Shutter Island,Italian,USA,"Mystery, Thriller"
Citizenfour,English,USA,"Documentary, Biography, Thriller"
Amy,English,UK,"Documentary, Biography, Music"
Icarus,"English, Russian",USA,"Documentary, Sport, Thriller"
Free Solo,English,USA,"Documentary, Adventure, Sport"
Man with a Movie Camera,None,USSR,Documentary
The Act of Killing,"Indonesian, English","Denmark, Norway, UK","Documentary, Crime, History"
Searching for Sugar Man,"English, Afrikaans","Sweden, UK","Documentary, Music"
Jiro Dreams of Sushi,Japanese,USA,"Documentary, Biography"
Exit Through the Gift Shop,"English, French","UK, USA","Documentary, Art, Biography"
My Octopus Teacher,English,South Africa,"Documentary, Nature"
Chiamami col tuo nome,Italiano,Italia,Romance
Il favoloso mondo di Amélie,Francese,Francia,Romance
Eternal Sunshine of the Spotless Mind,Inglese,USA,Romance
Lost in Translation,Inglese,USA,Romance
Pride & Prejudice,Inglese,UK,Romance
Before Sunrise,Inglese,USA,Romance
Her,Inglese,USA,Romance
Carol,Inglese,UK,Romance
In the Mood for Love,Cantonese,Hong Kong,Romance
Like Crazy,Inglese,USA,Romance
Hereditary,English,USA,Horror
The Babadook,English,Australia,Horror
It Follows,English,USA,Horror
The Witch,English,USA,Horror
Train to Busan,Korean,South Korea,Action Horror
A Quiet Place,English,USA,Horror
The Shining,English,USA,Horror
The Exorcist,English,USA,Horror
Psycho,English,USA,Thriller/Horror
Get Out,English,USA,Horror
Citizenfour,English,USA,"Documentary, Biography, Crime"
Man with a Movie Camera,Silent,Soviet Union,Documentary
Amy,English,UK,"Documentary, Biography, Music"
The Act of Killing,Indonesian,"Denmark, Norway, UK","Documentary, History, War"
Icarus,"English, Russian",USA,"Documentary, Sport, Thriller"
Free Solo,English,USA,"Documentary, Adventure, Sport"
Jiro Dreams of Sushi,Japanese,USA,"Documentary, Biography"
Paris Is Burning,English,USA,"Documentary, Social"
Searching for Sugar Man,"English, Swedish","Sweden, UK","Documentary, Music"
Honeyland,Macedonian,North Macedonia,Documentary
A qualcuno piace caldo,Italian,USA,Commedia
Monty Python e il Sacro Graal,Italian,UK,Commedia
Una notte da leoni,Italian,USA,Commedia
Frankenstein Junior,Italian,USA,Commedia
Il grande Lebowski,Italian,USA,Commedia
Ricomincio da capo,Italian,USA,Commedia
Quasi amici,Italian,France,Commedia
The Truman Show,Italian,USA,Commedia
La vita è bella,Italian,Italy,Commedia
Non ci resta che piangere,Italian,Italy,Commedia
Chiamami col tuo nome,Italiano,Italia,Romance
Orgoglio e pregiudizio,Inglese,Regno Unito,Romance
Casablanca,Inglese,Stati Uniti,Romance
Le pagine della nostra vita,Inglese,Stati Uniti,Romance
Amore e altri rimedi,Inglese,Stati Uniti,Romance
Il favoloso mondo di Amélie,Francese,Francia,Romance
500 giorni insieme,Inglese,Stati Uniti,Romance
Ghost - Fantasma,Inglese,Stati Uniti,Romance
Shakespeare in Love,Inglese,Regno Unito,Romance
Titanic,Inglese,Stati Uniti,Romance
Il Padrino,"Italiano, Inglese",USA,"Crime, Drama"
Schindler's List,"Inglese, Tedesco, Polacco, Ebraico",USA,"Biography, Drama, History"
Parasite,Coreano,Corea del Sud,"Comedy, Drama, Thriller"
La vita è bella,"Italiano, Tedesco, Inglese",Italia,"Comedy, Drama, War"
Seven Samurai,Giapponese,Giappone,"Action, Drama"
12 Angry Men,Inglese,USA,Drama
C'era una volta il West,"Italiano, Inglese","Italia, USA",Western
The Dark Knight,Inglese,"USA, UK","Action, Crime, Drama"
Forrest Gump,Inglese,USA,"Drama, Romance"
Interstellar,Inglese,"USA, UK","Adventure, Drama, Sci-Fi"
Il Padrino,"Italiano, Inglese",USA,"Crime, Drama"
Schindler's List,"Inglese, Tedesco, Polacco, Ebraico",USA,"Biography, Drama, History"
Parasite,Coreano,South Korea,"Comedy, Drama, Thriller"
La vita è bella,"Italiano, Tedesco, Inglese",Italy,"Comedy, Drama, War"
Seven Samurai,Giapponese,Japan,"Action, Drama"
Pulp Fiction,Inglese,USA,"Crime, Drama"
Forrest Gump,Inglese,USA,"Drama, Romance"
The Dark Knight,Inglese,"USA, UK","Action, Crime, Drama"
Inception,"Inglese, Giapponese, Francese","USA, UK","Action, Sci-Fi, Thriller"
Interstellar,Inglese,"USA, UK","Adventure, Drama, Sci-Fi"
Blade Runner,English,USA,Sci-Fi
2001: Odissea nello spazio,English,USA,Sci-Fi
Star Wars: Episodio IV - Una nuova speranza,English,USA,Sci-Fi
Alien,English,USA,Sci-Fi
Matrix,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Stalker,Russian,Soviet Union,Sci-Fi
Metropolis,German,Germany,Sci-Fi
Gattaca,English,USA,Sci-Fi
A qualcuno piace caldo,Italian,USA,Commedia
Anchorman - La leggenda di Ron Burgundy,Italian,USA,Commedia
