name,language,country,genre
Blade Runner 2049,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
2001: A Space Odyssey,English,UK,Sci-Fi
Gattaca,English,USA,Sci-Fi
Children of Men,English,UK,Sci-Fi
District 9,English,South Africa,Sci-Fi
Ex Machina,English,UK,Sci-Fi
Moon,English,UK,Sci-Fi
Akira,Japanese,Japan,Sci-Fi
Knives Out,English,USA,Mystery
The Girl with the Dragon Tattoo,English,USA,Mystery
Gone Girl,English,USA,Mystery
Prisoners,English,USA,Mystery
The Silence of the Lambs,English,USA,Mystery
Seven,English,USA,Mystery
Rear Window,English,USA,Mystery
The Usual Suspects,English,USA,Mystery
Shutter Island,English,USA,Mystery
Memories of Murder,Korean,South Korea,Mystery
Airplane!,English,USA,Parody
Monty Python and the Holy Grail,English,UK,Surreal Comedy
Shaun of the Dead,English,UK,Comedy Horror
This Is Spinal Tap,English,USA,Mockumentary
The Big Lebowski,English,USA,Crime Comedy
Superbad,English,USA,Teen Comedy
Bridesmaids,English,USA,Comedy
What We Do in the Shadows,English,New Zealand,Comedy Horror
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,English,USA,Black Comedy
The Princess Bride,English,USA,Fantasy Comedy
Mad Max: Fury Road,English,"Australia, USA","Action, Adventure, Sci-Fi"
John Wick,English,USA,"Action, Thriller"
The Raid: Redemption,Indonesian,Indonesia,"Action, Crime, Thriller"
Terminator 2: Judgment Day,English,USA,"Action, Sci-Fi"
Die Hard,English,USA,"Action, Thriller"
Kill Bill: Vol. 1,"English, Japanese, French",USA,"Action, Crime, Thriller"
Mission: Impossible - Fallout,"English, French, German",USA,"Action, Adventure, Thriller"
Edge of Tomorrow,English,"USA, Australia","Action, Sci-Fi"
Hard Boiled,Cantonese,Hong Kong,"Action, Crime, Thriller"
Casino Royale,"English, French, German, Italian","USA, UK, Czech Republic, Germany, Bahamas","Action, Adventure, Thriller"
هفت (Se7en),انگلیسی,ایالات متحده آمریکا,جنایی، معمایی، هیجان انگیز
سکوت بره‌ها (The Silence of the Lambs),انگلیسی,ایالات متحده آمریکا,جنایی، هیجان انگیز، ترسناک
باشگاه مبارزه (Fight Club),انگلیسی,ایالات متحده آمریکا,هیجان انگیز، درام
شاتر آیلند (Shutter Island),انگلیسی,ایالات متحده آمریکا,معمایی، هیجان انگیز، روانشناختی
یادگاری (Memento),انگلیسی,ایالات متحده آمریکا,معمایی، هیجان انگیز
کره (Parasite),کره ای,کره جنوبی,کمدی سیاه، هیجان انگیز
دختر گمشده (Gone Girl),انگلیسی,ایالات متحده آمریکا,معمایی، هیجان انگیز
زندانیان (Prisoners),انگلیسی,ایالات متحده آمریکا,جنایی، درام، هیجان انگیز
بی خوابی (Insomnia),انگلیسی,ایالات متحده آمریکا,جنایی، معمایی، هیجان انگیز
تعقیب (The Chaser),کره ای,کره جنوبی,جنایی، هیجان انگیز
The Lord of the Rings: The Fellowship of the Ring,English,USA/New Zealand,Fantasy
Spirited Away,Japanese,Japan,Animation/Fantasy
Pan's Labyrinth,Spanish,Mexico/Spain,Fantasy/Drama
Harry Potter and the Prisoner of Azkaban,English,UK/USA,Fantasy
Princess Mononoke,Japanese,Japan,Animation/Fantasy
The NeverEnding Story,English,West Germany/USA,Fantasy
Stardust,English,UK/USA,Fantasy/Romance
Willow,English,USA,Fantasy
Legend,English,UK/USA,Fantasy
Howl's Moving Castle,Japanese,Japan,Animation/Fantasy
Blade Runner 2049,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
The Matrix,English,USA,Sci-Fi
Gattaca,English,USA,Sci-Fi
Children of Men,English,USA,Sci-Fi
Eternal Sunshine of the Spotless Mind,English,USA,Sci-Fi
Stalker,Russian,USSR,Sci-Fi
Primer,English,USA,Sci-Fi
District 9,English,South Africa,Sci-Fi
The Shawshank Redemption,English,USA,Drama
The Godfather,English,USA,Crime
The Dark Knight,English,USA,Action
Pulp Fiction,English,USA,Crime
Forrest Gump,English,USA,Drama
Inception,English,USA,Sci-Fi
Seven Samurai,Japanese,Japan,Action
Parasite,Korean,South Korea,Thriller
Amélie,French,France,Romance
Interstellar,English,USA,Sci-Fi
هفت,انگلیسی,آمریکا,جنایی، معمایی، هیجان انگیز
سکوت بره ها,انگلیسی,آمریکا,جنایی، درام، هیجان انگیز
Memento,انگلیسی,آمریکا,معمایی، هیجان انگیز
باشگاه مبارزه,انگلیسی,آمریکا,درام، هیجان انگیز
روانی,انگلیسی,آمریکا,ترسناک، معمایی، هیجان انگیز
درخشش,انگلیسی,آمریکا، انگلستان,ترسناک، درام، معمایی
شاتر آیلند,انگلیسی,آمریکا,معمایی، هیجان انگیز
ناپدید شده,انگلیسی,آمریکا,معمایی، هیجان انگیز
بیگانگان,کره ای,کره جنوبی,اکشن، فانتزی، هیجان انگیز
پارک اولدبوی,کره ای,کره جنوبی,اکشن، درام، معمایی
Free Solo,English,USA,"Documentary, Adventure, Sport"
Icarus,English,USA,"Documentary, Sport, Thriller"
My Octopus Teacher,English,South Africa,"Documentary, Nature"
The Social Dilemma,English,USA,"Documentary, Drama"
Citizenfour,English,"USA, Germany, UK","Documentary, Biography, History"
Blackfish,English,USA,"Documentary, Drama"
Amy,English,UK,"Documentary, Biography, Music"
Man with a Movie Camera,Silent,Soviet Union,Documentary
Jiro Dreams of Sushi,Japanese,USA,"Documentary, Biography, Food"
Apollo 11,English,USA,"Documentary, History"
The Exorcist,English,USA,Supernatural Horror
Hereditary,English,USA,Psychological Horror
The Babadook,English,Australia,Psychological Horror
It Follows,English,USA,Supernatural Horror
The Witch,English,USA,Folk Horror
Train to Busan,Korean,South Korea,Zombie Horror
REC,Spanish,Spain,Found Footage Horror
A Nightmare on Elm Street,English,USA,Slasher
The Ring,Japanese,Japan,J-Horror
Get Out,English,USA,Social Thriller Horror
My Octopus Teacher,English,South Africa,Nature Documentary
Free Solo,English,USA,Sports Documentary
Icarus,English,USA,Political Documentary
The Social Dilemma,English,USA,Social Issues Documentary
Citizenfour,English,USA,Political Documentary
Amy,English,UK,Biographical Documentary
Man with a Movie Camera,Russian (silent),Soviet Union,Experimental Documentary
Paris is Burning,English,USA,LGBTQ+ Documentary
Searching for Sugar Man,English,Sweden/UK,Music Documentary
Blackfish,English,USA,Animal Rights Documentary
Airplane!,English,USA,Parody
Monty Python and the Holy Grail,English,UK,Surreal Comedy
This Is Spinal Tap,English,USA,Mockumentary
The Big Lebowski,English,USA,Crime Comedy
Shaun of the Dead,English,UK,Horror Comedy
Bridesmaids,English,USA,Romantic Comedy
Superbad,English,USA,Coming-of-age Comedy
What We Do in the Shadows,English,New Zealand,Mockumentary
Paddington,English,UK,Family Comedy
The Princess Bride,English,USA,Fantasy Comedy
هفت (Se7en),انگلیسی,ایالات متحده آمریکا,جنایی، رازآلود، هیجان‌انگیز
سکوت بره‌ها (The Silence of the Lambs),انگلیسی,ایالات متحده آمریکا,جنایی، ترسناک، هیجان‌انگیز
باشگاه مبارزه (Fight Club),انگلیسی,ایالات متحده آمریکا,هیجان‌انگیز، درام
شاتر آیلند (Shutter Island),انگلیسی,ایالات متحده آمریکا,رازآلود، هیجان‌انگیز، روان‌شناختی
یادگاری (Memento),انگلیسی,ایالات متحده آمریکا,رازآلود، هیجان‌انگیز
دختری با خالکوبی اژدها (The Girl with the Dragon Tattoo),سوئدی,سوئد,جنایی، درام، رازآلود، هیجان‌انگیز
بی‌خوابی (Insomnia),انگلیسی,ایالات متحده آمریکا,جنایی، درام، رازآلود، هیجان‌انگیز
زندانیان (Prisoners),انگلیسی,ایالات متحده آمریکا,جنایی، درام، رازآلود، هیجان‌انگیز
رفته عزیزم رفته (Gone Baby Gone),انگلیسی,ایالات متحده آمریکا,جنایی، درام، رازآلود، هیجان‌انگیز
هویت (Identity),انگلیسی,ایالات متحده آمریکا,رازآلود، هیجان‌انگیز
The Exorcist,English,USA,Horror
Hereditary,English,USA,Horror
The Babadook,English,Australia,Horror
A Quiet Place,English,USA,Horror
It Follows,English,USA,Horror
The Witch,English,USA,Horror
Train to Busan,Korean,South Korea,Horror
REC,Spanish,Spain,Horror
The Ring,Japanese,Japan,Horror
Get Out,English,USA,Horror
The Lord of the Rings: The Fellowship of the Ring,English,"USA, New Zealand","Fantasy, Adventure, Action"
Spirited Away,Japanese,Japan,"Animation, Adventure, Family, Fantasy"
Pan's Labyrinth,Spanish,"Mexico, Spain","Fantasy, Drama, War"
Harry Potter and the Prisoner of Azkaban,English,"UK, USA","Fantasy, Adventure, Family"
Princess Mononoke,Japanese,Japan,"Animation, Action, Adventure, Fantasy"
The NeverEnding Story,English,"West Germany, USA","Fantasy, Adventure, Family"
Willow,English,USA,"Fantasy, Adventure"
Stardust,English,"USA, UK","Fantasy, Adventure, Romance"
The Dark Crystal,English,"UK, USA","Adventure, Family, Fantasy, Sci-Fi"
Legend,English,"UK, USA","Fantasy, Adventure"
The Notebook,انگلیسی,ایالات متحده,درام رمانتیک
Pride & Prejudice,انگلیسی,انگلستان,درام رمانتیک
Before Sunrise,انگلیسی,ایالات متحده,درام رمانتیک
La La Land,انگلیسی,ایالات متحده,موزیکال رمانتیک
